Observer,Date,Site,Complexity_Level,Genus,Species,Fish_Name,Juvenile,Adult,Fish_Quantity
Veneri_A,9/21/2023,1,High,thalassoma,duperrey,saddlewrasse,0,3,3
Veneri_A,9/21/2023,1,High,zebrasoma,flavescens,yellowtang,0,7,7
Veneri_A,9/21/2023,1,High,acanthurus,blochii,ringtailsurgeonfish,0,4,4
Veneri_A,9/21/2023,1,Low,dascyllus,albisella,hawaiiandascyllus,7,3,10
Veneri_A,9/21/2023,1,Low,thalassoma,duperrey,saddlewrasse,0,4,4
Cook_A,9/21/2023,1,High,thalassoma,duperrey,saddlewrasse,0,4,4
Cook_A,9/21/2023,1,High,gomphosus,varius,birdwrasse,0,2,2
Cook_A,9/21/2023,1,High,scarus,psittacus,palenoseparrotfish,5,0,5
Cook_A,9/21/2023,1,High,chlorurus,spilurus,bulletheadparrotfish,0,10,10
Cook_A,9/21/2023,1,High,ctenochaetus,strigosus,goldringsurgeonfish,0,5,5
Cook_A,9/21/2023,1,High,zebrasoma,flavescens,yellowtang,0,2,2
Cook_A,9/21/2023,1,High,acanthurus,blochii,ringtailsurgeonfish,0,1,1
Cook_A,9/21/2023,1,High,chaetodon,lunulatus,ovalbutterflyfish,0,1,1
Cook_A,9/21/2023,1,High,dascyllus,albisella,hawaiiandascyllus,0,3,3
Cook_A,9/21/2023,1,High,plectroglyphidodon,marginatus,hawaiiangregory,0,1,1
Cook_A,9/21/2023,1,Low,thalassoma,duperrey,saddlewrasse,0,4,4
Cook_A,9/21/2023,1,Low,gomphosus,varius,birdwrasse,0,1,1
Cook_A,9/21/2023,1,Low,scarus,psittacus,palenoseparrotfish,2,0,2
Cook_A,9/21/2023,1,Low,ctenochaetus,strigosus,goldringsurgeonfish,0,3,3
Cook_A,9/21/2023,1,Low,zebrasoma,flavescens,yellowtang,0,2,2
Cook_A,9/21/2023,1,Low,acanthurus,blochii,ringtailsurgeonfish,0,16,16
Cook_A,9/21/2023,1,Low,plectroglyphidodon,sindonis,rockdamselfish,0,1,1
