"","site","complexity","replicate","height","rugosity","fractal_mean","fractal_raw"
"1","Site1","Low1",1,1.02579879760742,1.44427107264853,2.21082877263226,2.08316557887471
"2","Site1","Low1",2,0.930742979049683,1.50659761115294,2.10405321065895,1.97618519097376
"3","Site1","Low1",3,0.609067678451538,1.25484449183111,2.06844731069733,2.0310239049939
"4","Site1","Low1",4,0.418624401092529,1.02292317018084,2.0157870863669,2.14727648378022
"5","Site1","Low1",5,1.28554558753967,1.67383951623929,2.10056234852112,1.944497370939
"6","Site1","Low1",6,0.958389520645142,1.5928407727744,2.33024136824669,2.13930710605804
"7","Site1","Low1",7,0.583161354064941,1.11530158818037,2.01242052989623,2.0098431351921
"8","Site1","Low1",8,0.502727746963501,1.05348436142131,1.98991554903598,2.14305487955003
"9","Site1","Low1",9,0.982497692108154,1.40303002143996,2.07195762440071,1.98215036107596
"10","Site1","Low1",10,0.963079214096069,1.5088804056236,2.26987788671136,2.07879811308102
"11","Site1","Low1",11,0.511985540390015,1.19318412256252,2.10605545117486,2.02584723250147
"12","Site1","Low1",12,0.100768327713013,1.00301466578431,2.32941099243459,2.23383968240269
"13","Site1","Low1",13,1.15494275093079,1.49708174546746,2.19801839185871,2.08026382110496
"14","Site1","Low1",14,1.00640463829041,1.51894590009666,2.03836985361017,1.97204746404896
"15","Site1","Low1",15,0.33979344367981,1.04173666284651,2.17187284231824,2.11910597875413
"16","Site1","Low1",16,0.13664698600769,1.00448218787135,2.26200428346857,2.19916107165619
"17","Site1","Low2",1,0.339545488357544,1.02575748658841,2.13514285156225,2.12136960770052
"18","Site1","Low2",2,0.40232253074646,1.05706441251039,2.09233065022552,2.03503395901682
"19","Site1","Low2",3,0.142625331878662,1.00757080654629,2.27290231320088,2.15458697004305
"20","Site1","Low2",4,0.470220565795898,1.10302170010979,1.9933592859043,2.02603817856837
"21","Site1","Low2",5,0.60767674446106,1.15293586825059,2.24364433608232,2.19750897576782
"22","Site1","Low2",6,0.770551919937134,1.31915654968054,2.28951142293257,2.16622825051906
"23","Site1","Low2",7,0.347909212112427,1.04371186467156,2.08522028164441,2.05793740134061
"24","Site1","Low2",8,0.306640625,1.03158195026939,2.03177850591179,2.1058310649086
"25","Site1","Low2",9,0.588178634643555,1.21616270995838,2.30824397270637,2.17169305227
"26","Site1","Low2",10,0.628419399261475,1.18681324062235,2.23053933884138,2.17518416340307
"27","Site1","Low2",11,0.182008028030396,1.00930333951177,2.22464654921102,2.15857034508795
"28","Site1","Low2",12,0.364594459533691,1.04868934946803,2.0966829656443,2.09670368038518
"29","Site1","Low2",13,0.641922473907471,1.15233211208403,2.1271380827699,2.07518885513382
"30","Site1","Low2",14,0.502119064331055,1.03571134235659,2.04321236239891,2.12102768762323
"31","Site1","Low2",15,0.2429518699646,1.0115766678582,2.13739895789465,2.11188301341784
"32","Site1","Low2",16,0.130876064300537,1.00445967395579,2.25999247744547,2.20476463541085
"33","Site1","Mid1",1,0.567566394805908,1.13268440335596,2.3548794284066,2.29000768994587
"34","Site1","Mid1",2,0.830056667327881,1.19827648483644,1.96982393534083,2.0200334494777
"35","Site1","Mid1",3,0.553765773773193,1.12348571345066,2.05098641326798,2.0449816527064
"36","Site1","Mid1",4,0.0925126075744629,0.97355046770258,2.38458846157414,2.30849631825987
"37","Site1","Mid1",5,0.689351081848145,1.17277745802282,2.29540883406142,2.21913664139293
"38","Site1","Mid1",6,0.893828868865967,1.28545666225516,2.20344793066571,2.16842318601478
"39","Site1","Mid1",7,0.415184259414673,1.01780795693808,2.02356039638498,2.15374323279469
"40","Site1","Mid1",8,0.0939419269561768,1.00516117625486,2.39657129856782,2.25593644316708
"41","Site1","Mid1",9,1.08147597312927,1.2567216239765,2.2197226819079,2.20288278891242
"42","Site1","Mid1",10,0.811542987823486,1.29506262365381,2.28632946035478,2.16210108574818
"43","Site1","Mid1",11,0.154976844787598,1.00564149224847,2.23720455047457,2.18131222835377
"44","Site1","Mid1",12,0.100150108337402,1.00507255315607,2.36370710671569,2.22037168146688
"45","Site1","Mid1",13,1.04015707969666,1.35412002370101,2.14653704531937,2.12481794696863
"46","Site1","Mid1",14,0.170415639877319,1.00687352283947,2.2348796281214,2.16827131910333
"47","Site1","Mid1",15,0.0889019966125488,1.00408748071438,2.37149955514401,2.25230312048949
"48","Site1","Mid1",16,0.0784769058227539,0.9676437386334,2.40376162259244,2.31024832043411
"49","Site1","Mid2",1,0.998560190200806,1.36265734567863,2.22975351675276,2.06042640825003
"50","Site1","Mid2",2,1.14941620826721,1.30615567952131,2.22099920672878,2.14110840942776
"51","Site1","Mid2",3,1.02460813522339,1.29797886447949,2.06014867679963,2.02877346805835
"52","Site1","Mid2",4,0.483792781829834,1.09409692321041,2.01414795318624,2.07253186874955
"53","Site1","Mid2",5,0.868681192398071,1.26441881070119,2.24160725803444,2.10628725924956
"54","Site1","Mid2",6,1.51581168174744,1.32537887366598,2.13407004708881,2.08416831133646
"55","Site1","Mid2",7,0.952767372131348,1.35012715916409,2.0444410685467,2.07137182796959
"56","Site1","Mid2",8,0.358592987060547,1.06157990390243,2.0168638040299,2.04706321821824
"57","Site1","Mid2",9,0.879538536071777,1.40954924880823,2.29497923637748,2.08356874587333
"58","Site1","Mid2",10,1.1259765625,1.36250412579312,2.22784081388725,2.15354463400681
"59","Site1","Mid2",11,0.898136854171753,1.25415894763371,2.01406204375498,2.10832241363872
"60","Site1","Mid2",12,0.0926649570465088,1.00566935077344,2.38818663645531,2.25733566849498
"61","Site1","Mid2",13,0.721155166625977,1.33552880399177,2.31900341784832,2.09730806071319
"62","Site1","Mid2",14,1.02818369865417,1.28618609294917,2.25116042429109,2.16022951220587
"63","Site1","Mid2",15,0.899040699005127,1.28865193959826,2.14678971176885,2.14467632924845
"64","Site1","Mid2",16,0.127634048461914,1.00782234362039,2.33207036785694,2.22754891283248
"65","Site2","High1",1,1.66352760791779,1.32858861632064,1.971217825309,1.97649607374855
"66","Site2","High1",2,1.15935099124908,1.26880212474229,1.77480796009127,1.93965004940805
"67","Site2","High1",3,0.62922477722168,1.1627584701518,2.02597759792079,1.99920302770232
"68","Site2","High1",4,0.304251432418823,1.00757831626013,2.10189544727377,2.10857279222486
"69","Site2","High1",5,0.989809393882751,1.10443834293951,2.09514792266232,2.10494855401685
"70","Site2","High1",6,1.04845595359802,1.49786350534639,1.95420486955045,1.86158688647454
"71","Site2","High1",7,0.456196546554565,1.04275157679337,2.07186997284984,2.09249972269585
"72","Site2","High1",8,0.277994871139526,1.00811677789936,2.11793318650581,2.10913231485879
"73","Site2","High1",9,1.16845631599426,1.18087107775192,2.05551123454938,2.00423257205117
"74","Site2","High1",10,1.30099248886108,1.54275067840325,1.98651261619216,1.89571495165084
"75","Site2","High1",11,0.172459840774536,1.00481488910022,2.2125944212465,2.15994332501923
"76","Site2","High1",12,0.229979991912842,1.00482586545443,2.14046352396898,2.14771859636752
"77","Site2","High1",13,1.00734388828278,1.13825099529074,2.04670468107378,2.01541827746455
"78","Site2","High1",14,1.26083970069885,1.33851285464277,1.85204927748906,2.01389175842472
"79","Site2","High1",15,0.125304698944092,1.00314795481015,2.29861324308161,2.23805802464141
"80","Site2","High1",16,0.172633409500122,1.00355016706073,2.21483512077064,2.20591408243912
"81","Site2","High2",1,0.718525469303131,1.13921483739268,2.21677361710761,2.17590491220314
"82","Site2","High2",2,1.34871017932892,1.26901838094929,2.16745417589411,2.19615583868593
"83","Site2","High2",3,0.928465008735657,1.3365386725412,2.06546489340931,1.97881750404061
"84","Site2","High2",4,0.529431581497192,1.05158442650032,1.99870928217763,2.10107099642519
"85","Site2","High2",5,0.75223433971405,1.18648169418865,2.34193785137142,2.29439105016483
"86","Site2","High2",6,1.41281127929688,1.33751416264842,2.12389182341707,2.11362898740039
"87","Site2","High2",7,0.229477643966675,1.01062486460921,2.21038749935448,2.14135969303168
"88","Site2","High2",8,0.48094654083252,1.06586284700821,2.08899941075916,2.15171842423289
"89","Site2","High2",9,0.612064480781555,1.21505057161439,2.366724240865,2.24922992950967
"90","Site2","High2",10,1.29475891590118,1.35916488011643,2.06097798311801,2.01629115811389
"91","Site2","High2",11,0.170196056365967,1.01005274644269,2.31252430996415,2.19733973557947
"92","Site2","High2",12,0.126067399978638,1.00511951175429,2.33819862091937,2.21892859734491
"93","Site2","High2",13,1.16690862178802,1.27992359146394,2.23637091608595,2.21181733259553
"94","Site2","High2",14,1.33047831058502,1.2415949238858,1.96561392132251,2.02190672927485
"95","Site2","High2",15,0.15003490447998,1.008767560455,2.31394644609882,2.20632035538426
"96","Site2","High2",16,0.112153053283691,1.00504872179994,2.36706441937746,2.22325235402048
"97","Site2","Low1",1,0.736885547637939,1.17977608657019,2.25059385682317,2.20873173484997
"98","Site2","Low1",2,1.2968407869339,1.36039626018176,2.13166199737278,2.05980082810322
"99","Site2","Low1",3,0.627674579620361,1.06051960629317,2.08751456542391,2.09535604080816
"100","Site2","Low1",4,0.23719334602356,1.03241779505447,2.32352836689113,2.17250018577522
"101","Site2","Low1",5,0.644165635108948,1.15456930565438,2.32885150021671,2.21482950478586
"102","Site2","Low1",6,1.21547043323517,1.54886910277461,2.24524400497429,2.08507002058284
"103","Site2","Low1",7,0.63798189163208,1.0789659367896,2.15668994149509,2.11301174530807
"104","Site2","Low1",8,0.269931316375732,1.03858068515578,2.3215082739104,2.15604101621426
"105","Site2","Low1",9,0.989657759666443,1.34056909289217,2.21079613511976,2.11247156958607
"106","Site2","Low1",10,1.17322587966919,1.45796500627765,2.20975377507563,2.09951554646362
"107","Site2","Low1",11,0.439862489700317,1.04055099050158,2.15695794175798,2.04533937751079
"108","Site2","Low1",12,0.236622333526611,1.05263464719287,2.33980433815335,2.15999572099051
"109","Site2","Low1",13,0.834367394447327,1.18444419798166,2.23023243561919,2.16498394813338
"110","Site2","Low1",14,0.765217304229736,1.16332891708522,2.14685404903122,2.09725338992471
"111","Site2","Low1",15,0.402879238128662,1.0405453442577,2.17545634213129,2.09106879809803
"112","Site2","Low1",16,0.237571239471436,1.02743209381486,2.32158476139052,2.17014989578842
"113","Site2","Mid1",1,1.13655090332031,1.34973872587852,2.20472515142962,2.1342732763107
"114","Site2","Mid1",2,0.788575172424316,1.22215714068041,2.09802377609297,2.07891622848732
"115","Site2","Mid1",3,0.183359861373901,1.0097052644796,2.21680016908751,2.23045193388169
"116","Site2","Mid1",4,0.100799322128296,1.00276627344477,2.31786455927578,2.26424647336036
"117","Site2","Mid1",5,0.531675100326538,1.13963904287754,2.35485975200321,2.23544505225181
"118","Site2","Mid1",6,0.752529621124268,1.30906124635959,2.28967520337874,2.12501944594632
"119","Site2","Mid1",7,0.451898574829102,1.01688559463553,1.96637922252145,2.12418108716107
"120","Site2","Mid1",8,0.162389993667603,1.00340217113173,2.2104759841931,2.22133443364425
"121","Site2","Mid1",9,1.00218844413757,1.23454999861678,2.20743550716015,2.16269840838739
"122","Site2","Mid1",10,0.875275015830994,1.23322815359821,2.24300506042438,2.16100459881539
"123","Site2","Mid1",11,0.152405500411987,1.0123977127992,2.30954653499687,2.21166867879153
"124","Site2","Mid1",12,0.182562112808228,1.0047277388207,2.20820041952874,2.18538520794575
"125","Site2","Mid1",13,0.92936897277832,1.28770411772087,2.17491286398864,2.0917076156218
"126","Site2","Mid1",14,0.831241488456726,1.19296785340898,2.20738437987437,2.18164929046966
"127","Site2","Mid1",15,0.255154132843018,1.01052542371236,2.11947676250572,2.13447935576688
"128","Site2","Mid1",16,0.169586420059204,1.00614899097253,2.22519270054339,2.16880596914782
"129","Site2","Mid2",1,0.786989688873291,1.26879362132277,2.1777830583775,2.02350541066371
"130","Site2","Mid2",2,1.19222259521484,1.22128345262431,2.12436328860015,2.08037057526007
"131","Site2","Mid2",3,0.796037673950195,1.23297691941412,2.15084089802649,2.08182156879974
"132","Site2","Mid2",4,1.23957824707031,1.30428079047068,2.06600751522386,2.08161424535175
"133","Site2","Mid2",5,0.768273830413818,1.23380910332642,2.24304058654071,2.14886001627378
"134","Site2","Mid2",6,1.26789581775665,1.25433326789681,2.04875645425609,1.99123508141504
"135","Site2","Mid2",7,0.727714896202087,1.07637419139438,2.04809144254034,2.07578486397602
"136","Site2","Mid2",8,0.462942361831665,1.03938522615388,2.10389793216832,2.07278379199158
"137","Site2","Mid2",9,0.449278473854065,1.09632913138633,2.23361121622399,2.15519033543283
"138","Site2","Mid2",10,1.05424463748932,1.36503794585314,2.2440977931636,2.12155813339158
"139","Site2","Mid2",11,0.723440527915955,1.06041861541683,2.01556674998718,2.04271941295799
"140","Site2","Mid2",12,0.468508243560791,1.0221153989217,2.03678421401559,2.02449915844861
"141","Site2","Mid2",13,0.411602973937988,1.03031760101956,2.15350188152063,2.1111409110664
"142","Site2","Mid2",14,0.910508871078491,1.18315823995693,2.01656280821389,1.97467472739224
"143","Site2","Mid2",15,0.483245134353638,1.03582680581739,2.08959418214816,2.02366723782016
