Site,Complexity_Level,Transect,max_height,mean_height,range_height,max_rugosity,mean_rugosity,range_rugosity,max_fractal_dimension,mean_fractal_dimension,range_fractal_dimension
1,High,1,1.288448572,0.8536591265,1.169859648,1.175417263,1.074956638,0.1750965611,2.693157526,2.344858244,0.8014945719
1,High,2,1.700301886,1.26942922,1.079908371,1.212763026,1.112965904,0.2033467186,2.589153123,2.334604299,0.7230061574
1,Low,1,1.368780136,0.9680953556,0.7694058418,1.238568711,1.103234896,0.233762314,2.642755488,2.456649449,0.6006038048
1,Low,2,0.6826205254,0.4966424836,0.5031523705,1.038081819,1.016786195,0.03754137594,2.763299726,2.361088365,0.6565962475
1,Medium,1,1.10590291,0.7553316752,0.6197879314,1.08119918,1.029656145,0.07540218921,2.580835736,2.233614063,0.823752856
1,Medium,2,1.310635328,0.9830468628,0.6866137981,1.131371507,1.068734267,0.1209345163,2.682955089,2.428991652,0.4901697816
2,High,1,1.663476348,0.9293101231,1.527898669,1.291949529,1.083133616,0.2914817302,2.556848586,2.209070801,0.6424503961
2,High,2,1.391094089,0.8935899867,1.153109431,1.134175033,1.04478553,0.1315640912,2.513210694,2.290351428,0.6099112293
2,Low,1,1.218057871,0.9099287126,0.5733331442,1.071238586,1.038489627,0.05654771499,2.561312617,2.350583201,0.4355484819
2,Low,2,1.101525426,0.7867765692,0.6485688686,1.11910185,1.037483188,0.1099326645,2.630966826,2.374563713,0.4789567628
2,Medium,1,1.150142431,0.7907658286,0.7004827261,1.108631666,1.039382201,0.1072842104,2.560126063,2.284416675,0.6334048553
2,Medium,2,1.134634495,0.8019522561,0.7015191317,1.079590854,1.042299637,0.07248674621,2.58595271,2.374918254,0.3907985506
