Genus,Species,Diet_Category
abudefduf,abdominalis,Planktivores
acanthurus,blochii,"Herbivores, microvores, and detritivores"
acanthurus,nigrofuscus,"Herbivores, microvores, and detritivores"
acanthurus,nigroris,"Herbivores, microvores, and detritivores"
acanthurus,triostegus,"Herbivores, microvores, and detritivores"
acanthuridae,unidentified,"Herbivores, microvores, and detritivores"
albula,virgata,Crustacivores
arothron,meleagris,Macroinvertivore
aulostomus,chinensis,Piscivores
bathytoshia,lata,Crustacivores
bothus,pantherinus,Sessile invertivore
caesio,lunaris,Planktivores
canthigaster,jactator,Sessile invertivore
caranx,melampygus,Piscivores
cephalopoda,unidentified,Crustacivores
chaetodon,lineolatus,Microinvertivore
chaetodon,lunula,Microinvertivore
chaetodon,lunulatus,Corallivore
chaetodon,miliaris,Planktivores
chaetodon,auriga,Corallivore
chaetodon,trifascialis,Corallivore
cheilio,inermis,Piscivores
chelonia,mydas,"Herbivores, microvores, and detritivores"
chlorurus,spilurus,"Herbivores, microvores, and detritivores"
cirripectes,vanderbilti,"Herbivores, microvores, and detritivores"
coris,flavovittata,Macroinvertivore
ctenochaetus,strigosus,"Herbivores, microvores, and detritivores"
dascyllus,albisella,Planktivores
diodon,hystrix,Macroinvertivore
fistularia,commersonii,Piscivores
gomphosus,varius,Crustacivores
gymnothorax,flavimarginatus,Piscivores
gymnothorax,meleagris,Piscivores
gymnothorax,unidentified,Piscivores
halichoeres,ornatissimus,Microinvertivore
heniochus,diphreutes,Corallivore
labroides,phthirophagus,Planktivores
mulloidichthys,flavolineatus,Macroinvertivore
naso,lituratus,"Herbivores, microvores, and detritivores"
ostracion,meleagris,Sessile invertivore
parupeneus,insularis,Crustacivores
parupeneus,multifasciatus,Crustacivores
plectroglyphidodon,johnstonianus,Corallivore
plectroglyphidodon,marginatus,Microinvertivore
plectroglyphidodon,sindonis,Microinvertivore
pomacanthus,imperator,"Herbivores, microvores, and detritivores"
scaridae,unidentified,"Herbivores, microvores, and detritivores"
scarus,psittacus,"Herbivores, microvores, and detritivores"
scarus,rubroviolaceus,"Herbivores, microvores, and detritivores"
scomberoides,lysan,Crustacivores
sepioteuthis,lessoniana,Piscivores
stethojulis,balteata,Microinvertivore
synodus,ulae,Piscivores
thalassoma,duperrey,Microinvertivore
zanclus,cornutus,Sessile invertivore
zebrasoma,flavescens,"Herbivores, microvores, and detritivores"
