Observer,Date,Site,Complexity_Level,Genus,Species,Fish_Name,Fish_Quantity,RTS_Location,Behavior,Bites,Bites_Location
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,5,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,foraging,2,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,3,foraging,1,substrate
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,4,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,1,1,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none
