Rugosity,FractalDimension,HeightRange,Site,Complexity_Level,Transect
1.830059838,2.117663379,1.271664619,1,High,1
1.824854548,2.02963214,2.176261425,1,High,2
2.16459977,2.183935775,1.5576756,1,Low,1
1.421906109,2.232134981,0.7733273506,1,Low,2
1.551172618,2.104304176,1.280115843,1,Medium,1
1.794568682,2.148784149,2.133781314,1,Medium,2
1.400879264,1.973116143,2.026217222,2,High,1
1.606669172,2.064238068,1.959177077,2,High,2
1.670634665,2.176257518,1.918873668,2,Low,1
1.548835223,2.213657135,1.588398337,2,Low,2
1.510469469,2.181105814,1.090969801,2,Medium,1
1.487787509,2.172830151,1.859098196,2,Medium,2
