Rugosity,FractalDimension,HeightRange,Site,Complexity_Level,Transect
2.909295036,2.351931589,1.350320339,1,High,1
2.651719957,2.295972899,2.595009446,1,High,2
2.826068681,2.394380118,1.595974684,1,Low,1
1.864030725,2.412183148,0.7705519199,1,Low,2
2.0644606,2.359096841,1.351030827,1,Medium,1
1.977566479,2.308747701,2.120851994,1,Medium,2
1.604095911,2.106998115,2.108149767,2,High,1
2.034263882,2.257589591,1.837226093,2,High,2
2.14202205,2.372893454,1.495867968,2,Low,1
1.69868794,2.350856011,1.219285607,2,Low,2
2.095543079,2.43006283,1.050568223,2,Medium,1
1.776251509,2.32394051,1.413826644,2,Medium,2
