Observer,Date,Site,Complexity_Level,RTS,Camera_Position,Genus,Species,Fish_Name,Fish_Quantity,RTS_Location,Behavior,Bites,Bites_Location,Limu_Bait,TimeIn_Frame,TimeOut_Frame,Time_Seconds,Notes,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,limu,dictyotaspp,11.12,11.22,10,video C1 (1) Survey start at 10:32 ,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,limu,dictyotaspp,11.18,11.34,16,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,11.30,11.38,8,end of video C1 (1),,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,2,1,swim,0,none,none,1.31,1.35,4,Video C1 (2),,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,2.26,2.56,30,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,substrate,none,2.35,2.40,5,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,2.49,3.10,21,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,1,2,swim,0,none,none,3.05,3.13,8,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,4.54,5.09,15,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,1,swim,0,none,none,5.09,5.12,3,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,foraging,2,substrate,none,5.40,6.07,27,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,5.46,5.55,9,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,6.04,6.22,18,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,1,swim,0,none,none,6.20,6.29,9,,,
Cook_A,9/21/2023,1,1,2,1,gomphosus,varius,birdwrasse,1,1,swim,0,none,none,6.21,6.24,3,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,2,1,swim,0,none,none,6.27,6.33,6,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,6.32,7.05,33,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,3,1,swim,0,none,none,6.39,6.42,3,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,4,2,swim,0,none,none,6.52,6.58,6,,,
Cook_A,9/21/2023,1,1,2,1,chelonia,mydas,greenseaturtle,1,4,swim,0,none,none,6.45,7.06,21,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none,none,7.11,7.16,5,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,8,3,swim,0,none,none,7.08,7.28,20,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,1,swim,0,none,none,7.28,7.47,19,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,7.47,7.52,5,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,15,3,swim,0,none,none,7.58,8.30,32,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,8.03,8.10,7,,,
Cook_A,9/21/2023,1,1,2,1,acanthurus,blochii,ringtail_surgeonfish,16,3,swim,0,none,none,10.26,10.57,31,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,11.41,11.56,15,,,
Cook_A,9/21/2023,1,1,2,1,chaetodon,lineolatus,linedbutterflyfish,2,2,swim,0,none,none,11.42,11.59,17,,,
Cook_A,9/21/2023,1,1,2,1,acanthurus,blochii,ringtail_surgeonfish,2,1,swim,0,none,none,11.48,11.59,11,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,4,1,swim,0,none,none,12.41,12.48,7,end of video C1 (2),,
Cook_A,9/21/2023,1,1,2,1,acanthurus,blochii,ringtail_surgeonfish,1,1,swim,0,none,none,0.01,0.12,11,video C1 (3),,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,6,1,swim,0,none,none,0.02,0.08,6,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,16,3,swim,0,none,none,0.16,0.36,20,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,0.19,0.39,20,,,
Cook_A,9/21/2023,1,1,2,1,ostracion,meleagris,spotted_boxfish,1,2,foraging,1,substrate,none,0.18,0.33,15,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,25,3,swim,0,none,none,0.35,0.58,23,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,7,3,swim,0,none,none,1.27,1.41,14,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none,none,1.29,1.45,16,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,8,1,swim,0,none,none,2.50,2.55,5,,,
Cook_A,9/21/2023,1,1,2,1,chelonia,mydas,greenseaturtle,1,2,swim,0,none,none,2.50,3.14,24,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,3.08,3.12,4,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,foraging,2,limu,padinaspp,3.15,3.28,13,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,foraging,4,substrate,none,3.18,3.47,29,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,foraging,1,limu,padinaspp,3.25,3.51,26,bite on limu position 1,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,8,3,swim,0,none,none,3.23,3.40,17,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,foraging,2,limu,both(padina/dictyota),3.58,4.11,13,bites on position 1 and 4,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,4.18,4.24,6,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,substrate,none,6.04,6.27,23,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,10.39,10.52,13,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,10,1,swim,0,none,none,10.39,10.51,12,end of video C1 (3),,
Cook_A,9/21/2023,1,1,2,1,caranx,melampygus,bluefintrevally,5,2,swim,0,none,none,0.00,0.12,12,video C1 (4),,
Cook_A,9/21/2023,1,1,2,1,caranx,melampygus,bluefintrevally,5,1,swim,0,none,none,0.21,0.31,10,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,1,2,swim,0,none,none,1.22,1.25,3,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,1.42,1.55,13,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,22,4,swim,0,none,none,3.38,4.37,59,,,
Cook_A,9/21/2023,1,1,2,1,acanthurus,blochii,ringtail_surgeonfish,2,2,foraging,1,substrate,none,3.59,4.25,26,,,
Cook_A,9/21/2023,1,1,2,1,caranx,melampygus,bluefintrevally,2,2,swim,0,none,none,4.14,4.18,4,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,substrate,none,5.00,5.27,27,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,2,swim,0,none,none,5.50,5.57,7,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none,none,6.06,6.16,10,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,13,4,swim,0,none,none,7.32,7.46,14,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,3,swim,0,none,none,7.37,7.55,18,,,
Cook_A,9/21/2023,1,1,2,1,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none,none,7.44,7.53,9,,,
Cook_A,9/21/2023,1,1,2,1,mulloidichthys,flavolineatus,yellowstripe_goatfish,10,2,swim,0,none,none,8.32,8.47,15,end of video survey @ 12:00,,
Cook_A,9/21/2023,1,1,2,2,mulloidichthys,flavolineatus,yellowstripe_goatfish,2,2,swim,0,none,none,0.27,0.31,4,"Survey starts @ 9:36, video C2 (1), no fish in this video",,
Cook_A,9/21/2023,1,1,2,2,thalassoma,duperrey,saddlewrasse,1,4,swim,0,none,none,1.36,1.53,17,video C2 (2),,
Cook_A,9/21/2023,1,1,2,2,mulloidichthys,flavolineatus,yellowstripe_goatfish,1,3,swim,0,none,none,2.03,2.06,3,,,
Cook_A,9/21/2023,1,1,2,2,thalassoma,duperrey,saddlewrasse,1,5,swim,0,none,none,4.40,5.06,26,,,
Cook_A,9/21/2023,1,1,2,2,thalassoma,duperrey,saddlewrasse,1,2,foraging,1,substrate,none,4.45,4.51,6,,,
